20250912_204026,,openrouter_nemotron_9b,conll,test,1,10,200,0.6777,0.8154,0.7402,0.5730
20250912_210212,,openrouter_nemotron_9b,conll,test,0,10,200,0.7995,0.9446,0.8660,0.7135
20250912_204504,,openrouter_gptoss20b,wnut,test,1,10,200,0.4178,0.8026,0.5495,0.3872
20250912_193205,,openrouter_gptoss20b,ebmnlp,test,0,10,200,0.3436,0.6507,0.4497,0.4172
20250912_204504,,openrouter_gptoss20b,ebmnlp,test,1,10,200,0.3308,0.6062,0.4281,0.3863
20250912_204026,,openrouter_nemotron_9b,wnut,test,1,10,200,0.4423,0.7566,0.5583,0.3615
20250912_210212,,openrouter_nemotron_9b,wnut,test,0,10,200,0.5209,0.9013,0.6602,0.4423
20250912_235004,,openrouter_gptoss20b,conll,test,0,10,200,0.8722,0.9446,0.9069,0.7357
20250912_234951,,openrouter_gptoss20b,conll,test,0,10,200,0.8718,0.9415,0.9053,0.7232
20250912_235015,,openrouter_nemotron_9b,conll,test,0,10,200,0.8010,0.9415,0.8656,0.7107
20250912_235021,,openrouter_nemotron_9b,conll,test,0,10,200,0.7778,0.9477,0.8544,0.7102
20250912_234951,,openrouter_gptoss20b,wnut,test,0,10,200,0.5018,0.9145,0.6480,0.4452
20250912_204026,,openrouter_nemotron_9b,ebmnlp,test,1,10,200,0.3353,0.5856,0.4264,0.3962
20250912_235004,,openrouter_gptoss20b,wnut,test,0,10,200,0.5018,0.9408,0.6545,0.4497
20250912_210212,,openrouter_nemotron_9b,ebmnlp,test,0,10,200,0.3728,0.6473,0.4731,0.4328
20250912_235015,,openrouter_nemotron_9b,wnut,test,0,10,200,0.5294,0.8882,0.6634,0.4419
20250912_234951,,openrouter_gptoss20b,ebmnlp,test,0,10,200,0.3280,0.6267,0.4306,0.3961
20250912_235021,,openrouter_nemotron_9b,wnut,test,0,10,200,0.5472,0.9145,0.6847,0.4477
20250912_235004,,openrouter_gptoss20b,ebmnlp,test,0,10,200,0.3471,0.6336,0.4485,0.4100
20250912_193205,,openrouter_gptoss20b,naver,test,0,10,200,0.6567,0.5847,0.6186,0.5672
20250912_204026,,openrouter_nemotron_9b,naver,test,1,10,200,0.3116,0.3173,0.3144,0.2976
20250912_210212,,openrouter_nemotron_9b,naver,test,0,10,200,0.4592,0.4867,0.4726,0.4476
20250912_235015,,openrouter_nemotron_9b,ebmnlp,test,0,10,200,0.3625,0.6096,0.4547,0.4189
20250912_235021,,openrouter_nemotron_9b,ebmnlp,test,0,10,200,0.3550,0.5993,0.4459,0.4106
20250913_043736,,openrouter_nemotron_9b,conll,test,1,10,200,0.6985,0.8338,0.7602,0.5942
20250912_204504,,openrouter_gptoss20b,naver,test,1,10,200,0.4680,0.3887,0.4247,0.4035
20250912_235015,,openrouter_nemotron_9b,naver,test,0,10,200,0.4441,0.4884,0.4652,0.4302
20250912_235021,,openrouter_nemotron_9b,naver,test,0,10,200,0.4655,0.4817,0.4735,0.4416
20250913_061721,,openrouter_gptoss20b,conll,test,1,10,200,0.8110,0.8585,0.8341,0.6353
20250913_043736,,openrouter_nemotron_9b,wnut,test,1,10,200,0.4264,0.7434,0.5420,0.3576
20250913_061721,,openrouter_gptoss20b,wnut,test,1,10,200,0.4150,0.8026,0.5471,0.3860
20250913_043736,,openrouter_nemotron_9b,ebmnlp,test,1,10,200,0.3408,0.6233,0.4407,0.4045
20250912_234951,,openrouter_gptoss20b,naver,test,0,10,200,0.6223,0.5282,0.5714,0.5312
20250912_235004,,openrouter_gptoss20b,naver,test,0,10,200,0.6546,0.5731,0.6112,0.5514
20250913_061721,,openrouter_gptoss20b,ebmnlp,test,1,10,200,0.3339,0.6267,0.4357,0.4049
